Feature ID	Taxon	Confidence
003d672812f80a4a9b962157b12fb960	d__Bacteria; k__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; os__Lachnospirales; f__Lachnospiraceae; fs__Lachnospiraceae; g__Lachnospiraceae_UCG-008; s__uncultured_organism	0.9471529913986004
0041b27568de08d45638c9d77ef5a497	d__Bacteria; k__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; os__Bacteroidales; f__Bacteroidaceae; fs__Bacteroidaceae; g__Bacteroides	0.9999999962372466
0043e4429d992b31df019d08aa52caf5	d__Bacteria; k__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; os__Oscillospirales; f__Oscillospiraceae; fs__Oscillospiraceae	0.9744964541647553
004d9cd955a65fee8b6060a85069ca1c	d__Bacteria; k__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; os__Oscillospirales; f__Ruminococcaceae; fs__Ruminococcaceae; g__Fournierella; s__uncultured_organism	0.9526410221620522
0054f52e1b540b235191722e712a7376	d__Bacteria; k__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; os__Oscillospirales; f__UCG-010; fs__UCG-010; g__UCG-010; s__unidentified	0.9591664399507484
0071b44fe2965216604972f947b5513b	d__Bacteria; k__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; os__Oscillospirales; f__Oscillospiraceae; fs__Oscillospiraceae; g__UCG-002; s__gut_metagenome	0.8788524855325326
007ccd2b93cfc09f26681983738e0f76	d__Bacteria; k__Bacteria; p__Firmicutes; c__Bacilli; o__Mycoplasmatales; os__Mycoplasmatales; f__Mycoplasmataceae; fs__Mycoplasmataceae; g__Mycoplasma; s__Mycoplasma_wenyonii	0.9947226872658743
00a2f5508ce92517158fe96baeffbd55	d__Bacteria; k__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; os__Oscillospirales; f__Oscillospiraceae; fs__Oscillospiraceae; g__Flavonifractor	0.923832989481819
00a81ac0911770990d20834f75f8b379	d__Bacteria; k__Bacteria; p__Firmicutes; c__Clostridia; o__Lachnospirales; os__Lachnospirales; f__Lachnospiraceae; fs__Lachnospiraceae	0.9900067346875233
00ce8c6ff185661d326b1a0acabd2933	d__Bacteria; k__Bacteria; p__Firmicutes; c__Clostridia; o__Oscillospirales; os__Oscillospirales; f__Oscillospiraceae; fs__Oscillospiraceae	0.9993875312224834
